group,name,value
puppies,igh3pb,11.058823529411763
PoliticalDiscussion,jbuwav,18.88235294117647
PoliticalDiscussion,mi3c9v,2.117647058823529
PoliticalDiscussion,lsj8ui,1.0
PoliticalDiscussion,jofug7,6.588235294117647
puppies,g73cvc,2.117647058823529
puppies,dc67ss,2.117647058823529
PoliticalDiscussion,hqpsya,7.705882352941176
puppies,ms4awk,3.235294117647058
PoliticalDiscussion,e34ju2,4.352941176470589
puppies,jkeni1,4.352941176470589
PoliticalDiscussion,hf0oxz,5.470588235294118
PoliticalDiscussion,i478ec,4.352941176470589
PoliticalDiscussion,jl8ma8,9.941176470588234
PoliticalDiscussion,ij28mr,15.529411764705882
PoliticalDiscussion,j803jt,4.352941176470589
PoliticalDiscussion,lkut43,20.0
PoliticalDiscussion,gzv0z1,1.0
puppies,ncp8vh,13.294117647058824
puppies,j6sbm0,9.941176470588234
PoliticalDiscussion,megjrm,7.705882352941176
PoliticalDiscussion,earioa,5.470588235294118
PoliticalDiscussion,i04gue,17.764705882352942
PoliticalDiscussion,n3yeba,3.235294117647058
PoliticalDiscussion,ny41as,9.941176470588234
puppies,cjri8a,2.117647058823529
puppies,chp3js,12.176470588235295
puppies,n4jlkz,8.823529411764705
PoliticalDiscussion,k9jchq,2.117647058823529
puppies,jsk41v,1.0
puppies,fmxfa0,4.352941176470589
puppies,kokv85,8.823529411764705
PoliticalDiscussion,ejkcjo,1.0
PoliticalDiscussion,k5205z,8.823529411764705
puppies,o9hpg3,17.764705882352942
PoliticalDiscussion,feezf1,13.294117647058824
puppies,mk7ul7,7.705882352941176
puppies,i6xmsr,2.117647058823529
PoliticalDiscussion,hvu6uy,9.941176470588234
PoliticalDiscussion,edbxgg,8.823529411764705
puppies,jikc1j,20.0
puppies,jrbdya,8.823529411764705
puppies,gejruq,7.705882352941176
puppies,mipr2i,3.235294117647058
puppies,if2p60,15.529411764705882
puppies,nurku4,5.470588235294118
PoliticalDiscussion,j5bx5x,4.352941176470589
puppies,cexbg5,12.176470588235295
puppies,kl5n13,9.941176470588234
puppies,fcedxx,7.705882352941176
PoliticalDiscussion,jaa554,3.235294117647058
puppies,jmq0hr,6.588235294117647
PoliticalDiscussion,l1u45s,14.411764705882353
puppies,fqnjo3,6.588235294117647
PoliticalDiscussion,lu1901,4.352941176470589
puppies,n2kf1f,14.411764705882353
puppies,cx10st,7.705882352941176
PoliticalDiscussion,kjsh0o,3.235294117647058
puppies,hdes87,13.294117647058824
PoliticalDiscussion,e015th,5.470588235294118
PoliticalDiscussion,fws819,2.117647058823529
puppies,cp6yze,2.117647058823529
PoliticalDiscussion,kx86t8,7.705882352941176
PoliticalDiscussion,env7m7,9.941176470588234
puppies,m7rdzb,18.88235294117647
puppies,jasfjc,12.176470588235295
puppies,fo56a2,5.470588235294118
puppies,j23wuv,9.941176470588234
puppies,digsfc,1.0
puppies,kkvtwz,1.0
puppies,nneqn8,12.176470588235295
puppies,m38d5b,7.705882352941176
PoliticalDiscussion,kvlqre,4.352941176470589
puppies,hhi4eu,3.235294117647058
puppies,i32la1,4.352941176470589
PoliticalDiscussion,ko79j2,1.0
PoliticalDiscussion,mpszc3,15.529411764705882
puppies,nwza4j,2.117647058823529
puppies,j0ltz7,9.941176470588234
puppies,ncsr36,7.705882352941176
PoliticalDiscussion,jbom27,4.352941176470589
PoliticalDiscussion,jmnwv4,2.117647058823529
PoliticalDiscussion,lv0f6i,8.823529411764705
PoliticalDiscussion,ms0cbe,1.0
puppies,f7t6hd,8.823529411764705
PoliticalDiscussion,l65asl,11.058823529411763
puppies,k1i28i,12.176470588235295
PoliticalDiscussion,nb4hny,2.117647058823529
puppies,la76hu,9.941176470588234
puppies,fjroto,1.0
puppies,lvyokj,4.352941176470589
PoliticalDiscussion,jrfhzw,4.352941176470589
puppies,d8sual,14.411764705882353
PoliticalDiscussion,lbwbe8,20.0
puppies,kpf0gh,17.764705882352942
PoliticalDiscussion,lzuvvt,2.117647058823529
PoliticalDiscussion,d09tba,11.058823529411763
PoliticalDiscussion,kukukv,9.941176470588234
puppies,jak06h,2.117647058823529
PoliticalDiscussion,kpxm81,1.0
puppies,jxs2i3,9.941176470588234
puppies,kt4dom,12.176470588235295
PoliticalDiscussion,itbehu,4.352941176470589
puppies,ehq8xt,5.470588235294118
PoliticalDiscussion,klgdaa,6.588235294117647
PoliticalDiscussion,endz8w,1.0
PoliticalDiscussion,ix3mki,1.0
puppies,dqtvwe,4.352941176470589
puppies,kbsfq7,3.235294117647058
PoliticalDiscussion,n6v8gd,2.117647058823529
PoliticalDiscussion,i4i87h,8.823529411764705
PoliticalDiscussion,n7mnqx,13.294117647058824
puppies,krqhwu,8.823529411764705
puppies,keh2uj,2.117647058823529
puppies,iy8gxn,13.294117647058824
puppies,kllu2x,6.588235294117647
PoliticalDiscussion,km35i7,11.058823529411763
puppies,hjad9j,4.352941176470589
PoliticalDiscussion,k9ogub,5.470588235294118
puppies,it4ert,5.470588235294118
PoliticalDiscussion,jjrpma,1.0
puppies,i040a2,15.529411764705882
puppies,f9vdaw,11.058823529411763
PoliticalDiscussion,jbp8dm,5.470588235294118
PoliticalDiscussion,ku2mlj,16.647058823529413
PoliticalDiscussion,ec8kug,3.235294117647058
PoliticalDiscussion,hmkop6,1.0
puppies,i5u06w,13.294117647058824
PoliticalDiscussion,je8ggl,3.235294117647058
puppies,da3m7c,7.705882352941176
puppies,l0toxt,4.352941176470589
puppies,ld0j6k,11.058823529411763
puppies,khro8e,18.88235294117647
PoliticalDiscussion,hm021m,7.705882352941176
PoliticalDiscussion,k0dloo,1.0
PoliticalDiscussion,o0jbiz,12.176470588235295
PoliticalDiscussion,f3ywpe,11.058823529411763
puppies,mrfag5,5.470588235294118
PoliticalDiscussion,l5o9eh,6.588235294117647
PoliticalDiscussion,gs0yri,12.176470588235295
PoliticalDiscussion,lbs93g,6.588235294117647
puppies,f0x7t4,6.588235294117647
PoliticalDiscussion,dgabx2,3.235294117647058
puppies,mnqebd,2.117647058823529
puppies,gbjlis,6.588235294117647
PoliticalDiscussion,f1sdgd,3.235294117647058
puppies,lowsqd,16.647058823529413
puppies,fwkfvv,3.235294117647058
PoliticalDiscussion,ksfwaf,1.0
puppies,i9dmk2,17.764705882352942
puppies,l3f0le,5.470588235294118
PoliticalDiscussion,cboqsl,4.352941176470589
PoliticalDiscussion,cj3hlz,18.88235294117647
puppies,o7yxad,20.0
puppies,kylck6,13.294117647058824
PoliticalDiscussion,ek8wxu,8.823529411764705
PoliticalDiscussion,jb9duv,2.117647058823529
PoliticalDiscussion,ifrt5r,2.117647058823529
PoliticalDiscussion,iqu7q6,6.588235294117647
PoliticalDiscussion,j1cfum,6.588235294117647
PoliticalDiscussion,j1z1v4,4.352941176470589
puppies,j80gj6,20.0
PoliticalDiscussion,cqug96,6.588235294117647
PoliticalDiscussion,mkefbp,6.588235294117647
PoliticalDiscussion,hi5az6,3.235294117647058
puppies,en2mmc,1.0
puppies,faev8g,20.0
PoliticalDiscussion,hwjkzg,7.705882352941176
puppies,gyn1a7,16.647058823529413
PoliticalDiscussion,l0cw6u,7.705882352941176
puppies,jmuin8,15.529411764705882
PoliticalDiscussion,l0okd9,7.705882352941176
puppies,kwltzt,5.470588235294118
puppies,ll979v,8.823529411764705
puppies,k0cac1,1.0
puppies,jefmuj,1.0
PoliticalDiscussion,joldnz,12.176470588235295
PoliticalDiscussion,jqhqaj,11.058823529411763
PoliticalDiscussion,lt1y4f,5.470588235294118
puppies,j066jy,12.176470588235295
puppies,khkwmr,4.352941176470589
PoliticalDiscussion,ksme1t,6.588235294117647
PoliticalDiscussion,n8flnl,16.647058823529413
PoliticalDiscussion,esegmd,1.0
PoliticalDiscussion,kvj3wv,1.0
puppies,llsgsr,3.235294117647058
PoliticalDiscussion,nb6zaj,15.529411764705882
PoliticalDiscussion,l3fncp,13.294117647058824
puppies,ed74fl,3.235294117647058
PoliticalDiscussion,nvymzf,5.470588235294118
PoliticalDiscussion,k78k63,11.058823529411763
puppies,mopyzz,1.0
puppies,io18ub,5.470588235294118
puppies,f4twos,1.0
PoliticalDiscussion,hdpiv7,4.352941176470589
PoliticalDiscussion,kmfbz3,11.058823529411763
puppies,ewyvqo,1.0
PoliticalDiscussion,j2n2ys,2.117647058823529
puppies,k624r2,8.823529411764705
puppies,jm7qjx,11.058823529411763
puppies,j5sak9,15.529411764705882
PoliticalDiscussion,dba5jb,1.0
puppies,m60bc9,2.117647058823529
puppies,ipq1b3,7.705882352941176
puppies,mm93iw,1.0
puppies,kchchy,20.0
PoliticalDiscussion,lcrzgr,17.764705882352942
puppies,c83ezs,11.058823529411763
PoliticalDiscussion,ldyrgd,7.705882352941176
puppies,fgs1ze,12.176470588235295
puppies,kh4a15,16.647058823529413
puppies,eas066,11.058823529411763
PoliticalDiscussion,gh66xh,3.235294117647058
puppies,ivpjt6,9.941176470588234
PoliticalDiscussion,ko78xc,6.588235294117647
PoliticalDiscussion,dg7eoi,17.764705882352942
puppies,ljj6jw,20.0
PoliticalDiscussion,kvdqar,4.352941176470589
PoliticalDiscussion,j8pju6,6.588235294117647
PoliticalDiscussion,epepug,5.470588235294118
puppies,l4s87q,13.294117647058824
puppies,k48cuf,2.117647058823529
puppies,fzop1f,6.588235294117647
PoliticalDiscussion,jpjgzx,4.352941176470589
PoliticalDiscussion,ig9nyp,14.411764705882353
puppies,jkx8vr,14.411764705882353
puppies,izqib1,2.117647058823529
PoliticalDiscussion,goiqop,17.764705882352942
PoliticalDiscussion,lrmxli,12.176470588235295
PoliticalDiscussion,e7hhfr,2.117647058823529
PoliticalDiscussion,g6un3i,4.352941176470589
PoliticalDiscussion,gyj3p9,4.352941176470589
puppies,cxgdc6,5.470588235294118
puppies,js3mpt,3.235294117647058
PoliticalDiscussion,eo4t7i,2.117647058823529
PoliticalDiscussion,i5tmp5,2.117647058823529
PoliticalDiscussion,eim2mb,12.176470588235295
puppies,d4l3wx,4.352941176470589
puppies,mavjj5,12.176470588235295
puppies,ly3hdo,4.352941176470589
puppies,jy3o7p,9.941176470588234
PoliticalDiscussion,jq2oul,12.176470588235295
puppies,o6vgwe,20.0
puppies,jrhx7p,4.352941176470589
puppies,lmv528,16.647058823529413
puppies,cogm3y,9.941176470588234
PoliticalDiscussion,kwmtca,9.941176470588234
PoliticalDiscussion,jru8be,5.470588235294118
PoliticalDiscussion,gavle4,11.058823529411763
puppies,f1xq3u,17.764705882352942
puppies,cbq86u,6.588235294117647
puppies,kguf8a,8.823529411764705
puppies,ksuu0s,14.411764705882353
PoliticalDiscussion,mq2jbt,12.176470588235295
puppies,io8u64,4.352941176470589
PoliticalDiscussion,ko5t3a,1.0
PoliticalDiscussion,iwzg76,1.0
puppies,oaap6a,5.470588235294118
puppies,du4dux,7.705882352941176
PoliticalDiscussion,l28f4l,13.294117647058824
PoliticalDiscussion,jl7exc,14.411764705882353
puppies,ims75n,1.0
puppies,lkpu96,12.176470588235295
PoliticalDiscussion,ky67q1,8.823529411764705
PoliticalDiscussion,kut31q,1.0
PoliticalDiscussion,kzcvxd,16.647058823529413
puppies,nx5b16,14.411764705882353
puppies,km4wbw,11.058823529411763
PoliticalDiscussion,kyygfd,4.352941176470589
puppies,kf5zze,3.235294117647058
PoliticalDiscussion,kf0hyj,9.941176470588234
puppies,j1lw8c,18.88235294117647
puppies,ceey6s,8.823529411764705
puppies,e4sd2z,2.117647058823529
puppies,ldj3mv,8.823529411764705
puppies,mog3k7,6.588235294117647
puppies,ir1eu3,1.0
PoliticalDiscussion,iz3fnv,6.588235294117647
PoliticalDiscussion,ntpooj,8.823529411764705
PoliticalDiscussion,o8xgov,13.294117647058824
puppies,kc0rx6,15.529411764705882
puppies,f32iv9,7.705882352941176
puppies,hzgv25,8.823529411764705
PoliticalDiscussion,jl7kn4,18.88235294117647
PoliticalDiscussion,cqjitc,11.058823529411763
PoliticalDiscussion,lddjpj,12.176470588235295
puppies,kb9y1v,15.529411764705882
PoliticalDiscussion,j6d40z,20.0
puppies,mjgzpx,6.588235294117647
puppies,kprtuu,2.117647058823529
puppies,l1ryfn,14.411764705882353
PoliticalDiscussion,jpn6em,8.823529411764705
puppies,mqzj9k,8.823529411764705
PoliticalDiscussion,euahol,3.235294117647058
PoliticalDiscussion,cgybgv,13.294117647058824
PoliticalDiscussion,ki845u,16.647058823529413
PoliticalDiscussion,ku3xc7,11.058823529411763
PoliticalDiscussion,kjkmrk,2.117647058823529
PoliticalDiscussion,kch8bh,6.588235294117647
PoliticalDiscussion,kb3iy1,5.470588235294118
puppies,hnd2et,3.235294117647058
puppies,i138be,6.588235294117647
puppies,d2gerf,5.470588235294118
puppies,fjdpyu,4.352941176470589
puppies,gnp3tp,2.117647058823529
puppies,jvzl3m,8.823529411764705
PoliticalDiscussion,erl1fd,7.705882352941176
puppies,exnepg,13.294117647058824
puppies,kh7ga5,5.470588235294118
PoliticalDiscussion,ksp8g9,5.470588235294118
PoliticalDiscussion,cula6s,4.352941176470589
PoliticalDiscussion,o8e9iu,11.058823529411763
PoliticalDiscussion,njvt5x,7.705882352941176
puppies,lfeoxq,13.294117647058824
PoliticalDiscussion,kz7a2n,3.235294117647058
PoliticalDiscussion,dew8vr,11.058823529411763
puppies,gu4a09,13.294117647058824
PoliticalDiscussion,j2zuoq,12.176470588235295
puppies,lzte51,1.0
puppies,i1y7wo,14.411764705882353
puppies,lmvabz,14.411764705882353
PoliticalDiscussion,kgmea2,11.058823529411763
PoliticalDiscussion,fypvxg,8.823529411764705
PoliticalDiscussion,ju2ofk,14.411764705882353
PoliticalDiscussion,jp9mlz,3.235294117647058
puppies,gdjub4,3.235294117647058
puppies,muk3t4,18.88235294117647
puppies,ka70rh,2.117647058823529
PoliticalDiscussion,je5cvg,12.176470588235295
PoliticalDiscussion,jqma9a,2.117647058823529
PoliticalDiscussion,jwhyd9,3.235294117647058
PoliticalDiscussion,e9i3r2,17.764705882352942
puppies,kk1840,5.470588235294118
puppies,myawym,5.470588235294118
puppies,jyazz9,2.117647058823529
puppies,jqnom4,5.470588235294118
puppies,gps5wo,1.0
puppies,jlv5e7,4.352941176470589
puppies,g6k229,12.176470588235295
PoliticalDiscussion,mpsn4a,4.352941176470589
PoliticalDiscussion,jg6gn5,11.058823529411763
puppies,esfg43,7.705882352941176
PoliticalDiscussion,jb301t,18.88235294117647
puppies,k9fd0t,12.176470588235295
PoliticalDiscussion,kt0ojb,1.0
PoliticalDiscussion,mocfz7,20.0
puppies,d38aqw,7.705882352941176
PoliticalDiscussion,kifmtu,15.529411764705882
PoliticalDiscussion,l0qtbl,20.0
PoliticalDiscussion,j6sa42,8.823529411764705
puppies,lj2ns8,16.647058823529413
PoliticalDiscussion,lxdoni,12.176470588235295
puppies,nb74wa,2.117647058823529
puppies,djev54,1.0
puppies,k2n5pv,3.235294117647058
puppies,cqqt9a,9.941176470588234
puppies,jevsmh,15.529411764705882
puppies,hg2wz5,11.058823529411763
puppies,f5zo20,11.058823529411763
puppies,lo0h1c,15.529411764705882
PoliticalDiscussion,l5gblr,2.117647058823529
PoliticalDiscussion,kfhu7n,8.823529411764705
puppies,lcgm1b,1.0
puppies,j69ij7,6.588235294117647
PoliticalDiscussion,mkcdx1,8.823529411764705
PoliticalDiscussion,i0105a,1.0
puppies,k269oh,12.176470588235295
PoliticalDiscussion,lji86e,13.294117647058824
PoliticalDiscussion,mu3ggi,4.352941176470589
PoliticalDiscussion,k2ed46,13.294117647058824
puppies,o50ge1,7.705882352941176
PoliticalDiscussion,g7thlb,16.647058823529413
puppies,nskzc5,13.294117647058824
PoliticalDiscussion,eikmrk,1.0
PoliticalDiscussion,eppo0d,2.117647058823529
puppies,m2u779,6.588235294117647
